N_components,x_P,x_W,x_Ru,x_M1,x_M2,M1,M2,T,MR_i_Ar,MR_i_H2O,MR_i_N2,MR_i_O2,MR_i_Propylen,MR_Argon,MR_Acetaldehyd,MR_Aceton,MR_Acrolein,MR_Acrylsaeure,MR_Benzaldehyde,MR_BSA,MR_CO,MR_CO2,MR_Essigsaeure,MR_Ethylen,MR_Methan,MR_MSA,MR_O2,MR_Propan,MR_Propanal,MR_Propanol,MR_Propionseure,MR_Propylen,MR_PSA,MR_unbekannt_5,MR_unbekannt_10,MR_unbekannt_15,MR_unbekannt_20,MR_unbekannt_25,MR_unbekannt_30,MR_unbekannt_40
3,0.325,0.575,0.1,,,,,200,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,4.022906446,0,0,0,0,0,0,0,0,0,0,0,0,39.04175972,0,0,0,0,1.573284853,0,0,0,0,,0,0,0
3,0.325,0.575,0.1,,,,,400,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.942758731,0,0,0,0,0,0,0.1977642972,4.562789504,0,0,0.03330171468,0,25.30247165,0,0,0,0,0,0,0,0,0,,0,0,0
3,0.55,0.35,0.1,,,,,200,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,4.011669918,0,0,0,0,0,0,0,0,0,0,0,0,38.76733179,0,0,0,0,1.576925907,0,0,0,0,,0,0,0
3,0.55,0.35,0.1,,,,,400,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.92067871,0.006862694698,0,0,0,0.001281320903,0,2.326765939,2.204791816,0.01173350165,0.03681128409,0.04763142343,0,27.57042867,0.003165285725,0,0,0,0,0,0,0,0,,0,0,0
3,0.55,0.35,0.1,,,,,400,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.905668723,0,0,0,0,0,0,0.6189452623,3.852036661,0,0.002348054961,0.04065617649,0,25.68627051,0,0,0,0,0,0,0,0,0,,0,0,0
3,0.55,0.35,0.1,,,,,400,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.976812217,0.00456816835,0,0,0,0,0,1.317727907,3.172130823,0,0.002608103473,0.04183256561,0,26.74611504,0.0009931582899,0,0,0,0,0.001301697558,0,0,0,,0,0,0.002552533869
3,0.6,0.35,0.05,,,,,200,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.979761952,0,0,0,0,0,0,0,0,0,0,0,0,38.29930555,0,0,0,0,1.581399025,0,0,0,0,,0,0,0
3,0.6,0.3,0.1,,,,,400,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.889145811,0,0,0,0,0,0,1.10881013,3.303066498,0,0.002368837142,0.03720444772,0.002476679826,26.10805153,0,0,0,0,0,0.001053655705,0,0,0,,0,0,0
3,0.6,0.3,0.1,,,,,380,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,4.003837825,0,0,0,0,0,0,1.621067521,2.663646425,0.02541096094,0.033710966,0.03535575878,0.01556380639,27.66518718,0.003318943076,0,0,0,0,0.002803500046,0,0,0,,0,0,0.002909187076
3,0.6,0.3,0.1,,,,,400,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.973260081,0,0,0,0,0,0,0.5845959965,3.875445907,0,0.002022172005,0.03828509639,0.008984562365,26.18098612,0,0,0,0,0,0.001164276617,0,0,0,,0,0,0.002807751762
3,0.7,0.2,0.1,,,,,400,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.889535054,0,0,0,0,0,0,1.638261436,2.648699487,0.003398340678,0.02429506759,0.04401952527,0.01103658162,26.58197114,0.002564898717,0,0,0,0,0.001389035173,0,0,0,,0,0,0
3,0.35,0.3,0.35,,,,,350,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.978535588,0,0,0,0,0,0,0,4.732001957,0,0,0.01160224549,0,25.2366097,0,0,0,0,0.001711457153,0,0,0,,0,0,0,0
3,0.35,0.3,0.35,,,,,400,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.98339902,0,0,0,0,0,0,0,4.742444941,0,0,0.007672946641,0,25.35631724,0,0,0,0,0.001691858155,0,0,0,,0,0,0,0
3,0.3,0.35,0.35,,,,,350,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.955243079,0,0,0,0,0,0,0,4.698891509,0,0,0.01051839556,0,25.08460432,0,0,0,0,0,0,0,0,,0,0,0,0
3,0.3,0.35,0.35,,,,,400,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.975317008,0,0,0,0,0,0,0,4.715273929,0,0,0.00752963732,0,25.34515608,0,0,0,0,0,0,0,0,,0,0,0,0
3,0.3,0.35,0.35,,,,,200,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.944899343,0.004830026981,0,0,0,0,0,0,0,0,0,0,0,37.76674076,0,0,0,0,1.534669663,0,0,0,,0,0,0,0
3,0.05,0.9,0.05,,,,,200,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,4.06882514,0,0,0,0,0,0,0,0,0,0,0,0,39.54223533,0,0,0,0,1.584681634,0,0,0,0,,0,0,0
3,0.05,0.9,0.05,,,,,200,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.861963788,0,0,0,0,0,0,0,0,0,0,0,0,37.43899215,0,0,0,0,1.520665359,0,0,0,0,,0,0,0
3,0.05,0.9,0.05,,,,,250,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,4.036434857,0.006542946447,0,0,0,0,0,0,0,0,0,0,0,39.00839609,0,0,0,0,1.555547643,0,0,0,0,,0,0,0
3,0.05,0.9,0.05,,,,,250,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.883999959,0.006322930913,0,0,0,0,0,0,0,0,0,0,0,37.78670515,0,0,0,0,1.505202667,0,0,0,0,,0,0,0
3,0.05,0.9,0.05,,,,,400,4.015347551,4.015347551,104.3990363,20.07673775,1.565985545,3.975445397,0,0,0,0,0,0,0,4.871714539,0,0,0.009461505659,0,25.41960741,0,0,0,0,0.002889588238,0,0,0,0,,0,0,0
