,atomic_number,atomic_element_symbol,atomic_method,atomic_basis_set,atomic_hfomo,atomic_hpomo,atomic_lfumo,atomic_lpumo,atomic_ea_by_energy_difference,atomic_ip_by_energy_difference,atomic_ea_by_half_charged_homo,atomic_ip_by_half_charged_homo,r_s,r_p,r_d,r_valence
0,1,H,pbesol,NAO/really_tight,-1.01374200892554E-18,-1.01374200892554E-18,2.58745115552717E-19,2.58745115552717E-19,-2.53601062298536E-19,-1.61596547975454E-20,-2.19421292571802E-19,1.99055384674165E-18,0.55205,0.94195,0.68035,0.55205
1,2,He,pbesol,NAO/really_tight,-2.48585072729576E-18,-2.48585072729576E-18,2.97793364154854E-19,2.97793364154854E-19,5.45737823758766E-19,4.26297861779297E-18,5.29681193013101E-19,4.22804156298747E-18,0.29835,1.02795,0.66155,0.29835
2,3,Li,pbesol,NAO/really_tight,-4.40276533219219E-19,-4.40276533219219E-19,-1.27268899873248E-19,-1.27268899873248E-19,-6.14950560607609E-20,8.29599464979919E-19,-6.00063209788224E-20,8.39774467085837E-19,1.67295,1.90035,2.08675,1.67295
3,4,Be,pbesol,NAO/really_tight,-8.82983568372192E-19,-8.82983568372192E-19,-3.02603098370496E-19,-3.02603098370496E-19,1.6302464656831E-19,1.51133526035902E-18,1.76188158636134E-19,1.50521930041567E-18,1.08425,1.21845,1.94385,1.08425
4,5,B,pbesol,NAO/really_tight,-1.4923041546754E-18,-5.61913782270355E-19,4.71767314701043E-19,-5.61913782270355E-19,1.83221773121742E-20,1.31170204945292E-18,3.6457529006304E-20,1.28649495467391E-18,0.80475,0.84035,1.36235,0.84035
5,6,C,pbesol,NAO/really_tight,-2.1838051863893E-18,-8.36012556380199E-19,6.70683950879846E-19,-8.36012556380199E-19,-1.21668177308391E-19,1.73260864542434E-18,-1.02452786193677E-19,1.70766553169009E-18,0.64285,0.63935,1.13585,0.63935
6,7,N,pbesol,NAO/really_tight,-1.12613630105128E-18,-1.12613630105128E-18,7.19574370463558E-19,7.19574370463558E-19,-2.82586098237957E-19,2.17011866935033E-18,-2.60006028553286E-19,2.14601304425787E-18,0.537550000000001,0.51665,1.21345,0.51665
7,8,O,pbesol,NAO/really_tight,-1.43701784602145E-18,-1.43701784602145E-18,5.30817136237248E-19,5.30817136237248E-19,-4.68677501386499E-19,2.6249184560283E-18,-4.42413836831367E-19,2.60109368945328E-18,0.461750000000001,0.43415,1.07455,0.43415
8,9,F,pbesol,NAO/really_tight,-1.77062626635767E-18,-1.77062626635767E-18,3.2037604362503E-19,3.2037604362503E-19,-6.75083283868985E-19,3.09547912585418E-18,-6.4401411885001E-19,3.07286100415432E-18,0.40485,0.37435,1.06465,0.37435
9,10,Ne,pbesol,NAO/really_tight,-2.12692951852752E-18,-2.12692951852752E-18,4.79408095005638E-19,4.79408095005638E-19,8.91561013813483E-19,3.58985772336414E-18,9.78556608156154E-19,3.56754104670943E-18,0.36075,0.32925,1.87705,0.32925
10,11,Na,pbesol,NAO/really_tight,-4.21657638708903E-19,-4.21657638708903E-19,3.84522388992E-21,3.84522388992E-21,-6.34035399161089E-20,8.02548363700601E-19,-6.19225242172992E-20,8.02312373338291E-19,1.77645,,,1.77645
11,12,Mg,pbesol,NAO/really_tight,-7.47787098579226E-19,-7.47787098579226E-19,-1.68944718133498E-19,-1.68944718133498E-19,2.54004808456509E-19,1.26789230238916E-18,2.57676463746643E-19,1.264194258289E-18,1.35335,,,1.35335
12,13,Al,pbesol,NAO/really_tight,-1.21645740587226E-18,-4.07866102357056E-19,5.40681737691514E-19,-4.07866102357056E-19,5.46535475828485E-20,9.17536500628084E-19,6.01184733422784E-20,9.06681362770445E-19,1.10775,1.39955,1.70155,1.39955
13,14,Si,pbesol,NAO/really_tight,-1.71535277511669E-18,-6.39914148877383E-19,7.84252638468634E-19,-6.39914148877383E-19,-1.06426062448091E-19,1.2355764353555E-18,-1.00110403974067E-19,1.22488966142753E-18,0.947950000000001,1.14205,1.16175,1.14205
14,15,P,pbesol,NAO/really_tight,-8.74424740863878E-19,-8.74424740863878E-19,6.79712216138054E-19,6.79712216138054E-19,-2.49083904492414E-19,1.5563571641218E-18,-2.44128458241158E-19,1.54725240406236E-18,0.83425,0.97185,1.41705,0.97185
15,16,S,pbesol,NAO/really_tight,-1.11711284232294E-18,-1.11711284232294E-18,7.48628241305146E-19,7.48628241305146E-19,-4.14235651643646E-19,1.88126576332401E-18,-4.09610872697107E-19,1.87263524962739E-18,0.747850000000001,0.84965,1.39175,0.84965
16,17,Cl,pbesol,NAO/really_tight,-1.37166185730578E-18,-1.37166185730578E-18,8.01416756607264E-19,8.01416756607264E-19,-5.8876682159392E-19,2.21659306923541E-18,-5.8579582698E-19,2.20885682003213E-18,0.67905,0.75695,1.33915,0.75695
17,18,Ar,pbesol,NAO/really_tight,-1.63799488133461E-18,-1.63799488133461E-18,7.16502997881485E-19,7.16502997881485E-19,1.10855070311606E-18,2.57545743758391E-18,1.10932466176923E-18,2.5652546006226E-18,0.622550000000001,0.68355,0.77385,0.68355
18,19,K,pbesol,NAO/really_tight,-3.59315344216954E-19,-3.59315344216954E-19,-4.51845850598016E-20,-4.51845850598016E-20,-4.97274110698569E-20,6.75511478868726E-19,-4.9603388179968E-20,6.75335069610029E-19,2.21205,2.29725,0.93735,2.21205
19,20,Ca,pbesol,NAO/really_tight,-5.95610760959021E-19,-5.95610760959021E-19,-2.99917850354035E-19,-2.99917850354035E-19,1.88676263424195E-19,1.00534089647893E-18,2.21539370064499E-19,1.00428436033296E-18,1.80005,2.02325,0.69595,1.80005
20,21,Sc,pbesol,NAO/really_tight,-6.45891869849587E-19,-4.89307944345562E-19,-4.7328297378432E-21,-4.89307944345562E-19,1.70992891057658E-19,1.09239154865914E-18,1.9196158746791E-19,1.11258669336918E-18,1.65245,1.62235,0.581350000000001,0.581350000000001
21,22,Ti,pbesol,NAO/really_tight,-6.99359708038925E-19,-6.62963061744211E-19,-1.05615482843136E-20,-6.62963061744211E-19,6.66987793495916E-20,1.1408650354235E-18,8.43690186747072E-20,1.13801644069452E-18,1.54605,1.53775,0.51945,0.51945
22,23,V,pbesol,NAO/really_tight,-7.08910282875514E-19,-6.99101757602976E-19,3.27132422434944E-20,-6.99101757602976E-19,-1.69180686706091E-20,1.15658039336394E-18,-8.7655082923968E-21,1.15605694944472E-18,1.47945,1.46715,0.47565,0.47555
23,24,Cr,pbesol,NAO/really_tight,-7.08945530761171E-19,-7.03619895673632E-19,8.5548220667616E-20,-7.03619895673632E-19,-8.0694646093792E-20,1.17095698373491E-18,-1.01252755904698E-19,1.17239754880026E-18,1.42465,1.40635,0.43935,0.43925
24,25,Mn,pbesol,NAO/really_tight,-6.99604841061907E-19,-6.99604841061907E-19,2.97170117449363E-19,2.97170117449363E-19,-9.21312071173026E-20,1.18532623453377E-18,-1.55077879480474E-19,1.18415912737356E-18,1.36825,,0.40825,0.40825
25,26,Fe,pbesol,NAO/really_tight,-7.03922707054963E-19,-7.03922707054963E-19,-6.64214361685056E-20,-6.64214361685056E-20,-1.59819934550202E-19,1.19710945691327E-18,-2.15161104937094E-19,1.18036997966536E-18,1.33295,,0.38215,0.38215
26,27,Co,pbesol,NAO/really_tight,-7.03011068557728E-19,-7.03011068557728E-19,4.23759694435392E-20,4.23759694435392E-20,-1.7144112400126E-19,1.22702815866056E-18,-2.09335590743866E-19,1.18996541544733E-18,1.29165,1.60445,0.35905,0.35905
